word2,he,she,total,logratio,freq
cries,4.991327916301845e-4,9.84810984029388e-4,366,0.9804231649361833,1.9730440486848444
moans,2.0355694854191878e-4,3.9600864966261103e-4,147,0.9600994725429354,1.945444026839793
bites,3.0394119713793354e-4,5.888023343667769e-4,220,0.9539911556176284,1.9372245023420391
realises,9.201889454634685e-5,1.7716176432274705e-4,65,0.9450652398712531,1.925275946816733
mouths,1.2548031074501842e-4,2.396894458484225e-4,89,0.9337053777067055,1.9101757433122883
accepts,1.728839836931365e-4,3.28270328009796e-4,123,0.9250801310924085,1.8987897027665979
wore,8.923044319645755e-5,1.667404840684678e-4,62,0.9019965179793673,1.8686501836750646
smiles,0.008591218609008928,0.015965401349555795,6143,0.8940141328649732,1.85833955299591
laughs,0.002568163693248044,0.004720839955188495,1825,0.8783064119342666,1.838216141595666
wrote,1.2548031074501842e-4,2.2926816559414324e-4,87,0.8695750402869898,1.827124624037841
serves,8.644199184656825e-5,1.5631920381418857e-4,59,0.8546908032010105,1.808371145491998
scoots,6.692283239734316e-5,1.1984472292421124e-4,45,0.8405959733152242,1.7907897593552704
liked,6.413438104745386e-5,1.1463408279707162e-4,43,0.8378661805596517,1.7874045235152791
arranges,6.134592969756457e-5,1.09423442669932e-4,41,0.8348823221208302,1.7837115389625615
scampers,6.134592969756457e-5,1.09423442669932e-4,41,0.8348823221208302,1.7837115389625615
storms,3.429795160363837e-4,6.044342547481958e-4,237,0.8174630077676994,1.7623042382626624
twirls,9.759579724612544e-5,1.7195112419560743e-4,66,0.8171076203928543,1.7618701731793467
softens,8.923044319645755e-5,1.5631920381418857e-4,60,0.8088871135878858,1.751859547195373
ignores,4.7682518083107006e-4,8.232811400880598e-4,327,0.7879247512705722,1.7265890586003518
softly,6.971128374723247e-5,1.1984472292421124e-4,46,0.7817022842616554,1.7191581689810593
faints,6.692283239734316e-5,1.1463408279707162e-4,44,0.7764656358955084,1.712929335035476
wonders,6.692283239734316e-5,1.1463408279707162e-4,44,0.7764656358955084,1.712929335035476
fades,6.413438104745386e-5,1.09423442669932e-4,42,0.7707519847011146,1.7061588633554936
sags,1.2826876209490773e-4,2.18846885339864e-4,86,0.7707519847011146,1.7061588633554936
hesitates,0.001466725410041771,0.0024281582992470626,990,0.7272636733413451,1.655496170328099
