word2,total,female_he,female_she,male_he,male_she,female_ratio,female_logratio,male_ratio,male_logratio
ignores,97,9.72876211230883e-4,0.0012656447756996202,4.8823584116060634e-4,0.001224910651295847,1.3009309520461256,0.3795443918910903,2.508850330168427,1.3270264068314097
bolts,84,6.226407751877651e-4,8.086063844747574e-4,7.091044359713568e-4,7.597547077657785e-4,1.2986723913654898,0.37703753628051534,1.0714285078826775,0.09953558798538893
sniffs,67,6.226407751877651e-4,8.086063844747574e-4,7.129793235996156e-4,3.4886695764755135e-4,1.2986723913654898,0.37703753628051534,0.48930866029358083,-1.031183277573115
tears,147,8.950461143324124e-4,0.001160174377724652,0.0014259586471992312,0.0011318794625898333,1.2962174341039296,0.37430774352494334,0.7937673822540312,-0.3332118150227723
wraps,104,0.0011674514534770596,0.0015117423709745464,6.742304473170278e-4,0.00117839505694284,1.2949081235644306,0.3728497393170821,1.7477630410077738,0.8055095997490804
can,720,0.013737012102580068,0.017754183659119675,0.019110945782572306,0.016295963221670064,1.2924341571909301,0.3700907845914798,0.8527031266307454,-0.22988454828643767
misses,57,5.448106782892945e-4,7.031359864997891e-4,6.509811215474751e-4,3.4886695764755135e-4,1.2906061032203628,0.368048753053261,0.5359094850834457,-0.8999387442948622
tugs,65,2.7240533914464724e-4,3.5156799324989455e-4,4.804860659040888e-4,6.977339152951027e-4,1.2906061032203628,0.368048753053261,1.4521418305486915,0.5381823680970227
zips,43,2.7240533914464724e-4,3.5156799324989455e-4,3.603645494280666e-4,2.480831698827032e-4,1.2906061032203628,0.368048753053261,0.6884227937416019,-0.5386332289538083
keeps,322,0.0033856092150834727,0.004359443116298692,0.003944635605567438,0.004023598911535092,1.287639192638247,0.36472839476164975,1.020017896166684,0.028594464436408593
notices,432,0.00431957037786512,0.005554774293348334,0.006316066834061812,0.0070316073463628686,1.2859552704159651,0.36284046205049975,1.1132889393193608,0.1548280735643057
closes,411,0.005214616492197533,0.006679791871747996,0.004165504200378189,0.005442324539301801,1.28097471439036,0.35724199809667806,1.3065223986108785,0.38573185798196125
screams,252,0.0017900922286648248,0.0022851919561243145,0.0021273133079140706,0.0035894533642403617,1.2765777760114458,0.35228143719494437,1.6873176841825839,0.7547316264092608
nervously,42,1.945752422461766e-4,2.4609759527492617e-4,2.9061657211940854e-4,3.1010396235337895e-4,1.2647939811559556,0.3389024073937446,1.0670553302994827,0.09363498654570442
strains,41,1.945752422461766e-4,2.4609759527492617e-4,4.184878638519483e-4,1.47299382117855e-4,1.2647939811559556,0.3389024073937446,0.3519800568696211,-1.5064344065656599
tumbles,47,1.945752422461766e-4,2.4609759527492617e-4,3.6811432468458413e-4,3.566195567063858e-4,1.2647939811559556,0.3389024073937446,0.9687739182982148,-0.04576807011971172
sighs,175,0.0018679223255632952,0.0023555055547742933,0.0016119532533556526,0.001976912760002791,1.2610297133548962,0.33460226996011905,1.2264082447101932,0.2944393008719892
finds,462,0.0053313616375452386,0.0067149486710729855,0.006998047056635357,0.0057679336997728484,1.2595185109530112,0.3328723252987249,0.8242204793841521,-0.2788977842186036
attempts,59,7.004708720862357e-4,8.789199831247363e-4,5.30859605071453e-4,3.333617595298824e-4,1.2547559336864638,0.327406768555915,0.62796595624376506,-0.6712417461042055
catches,310,0.0031132038759388255,0.00386724792574884,0.003533897516972008,0.003256091604710479,1.2422083743495993,0.3129071988608001,0.9213882375118889,-0.11811891434439603
fights,100,6.226407751877651e-4,7.73449585149768e-4,9.764716823212127e-4,0.0010388482738838195,1.242208374349599,0.3129071988607998,1.0638795703878772,0.08933484911207895
reacts,68,3.113203875938826e-4,3.86724792574884e-4,5.889829194953346e-4,0.0010155904767073162,1.242208374349599,0.3129071988607998,1.7243122730579639,0.7860210702480881
thinks,281,0.0024905631007510606,0.003093798340599072,0.002507052295483431,0.0028374512555334177,1.242208374349599,0.3129071988607998,1.1317878213570636,0.17860351844575806
races,122,0.001362026695723236,0.0016875263675994938,0.0012399640410428099,0.0012481684484723504,1.2389818590915485,0.30915506399969267,1.0066166494817388,0.009514365381477848
runs,534,0.007277114060007005,0.0090001406271973,0.008272885086332496,0.008272023195776385,1.2367733352785508,0.306581120335866,0.9998958174147088,-1.5031152920444367e-4
brushes,84,7.39385920535471e-4,9.140767824497258e-4,7.052295483430981e-4,7.054865143539371e-4,1.2362647936110844,0.3059877849210095,1.0003643721557651,5.255821542230243e-4
sits,634,0.009456356773164183,0.011672057375896498,0.01052031991072259,0.011876981758134415,1.2343080592115732,0.3037025079646464,1.128956330123486,0.17498968138745621
pats,98,8.56131065883177e-4,0.0010547039797496837,6.781053349452866e-4,6.744761181185992e-4,1.231942189437619,0.30093455719472395,0.9946480043148751,-0.007742033829377387
sticks,101,5.448106782892945e-4,6.679791871747996e-4,8.873492668712607e-4,8.062703021187853e-4,1.2260757980593446,0.2940481716094841,0.9086279013467212,-0.13823848780162865
manages,118,0.0010117912596801183,0.0012304879763746308,0.0012942124678384326,0.0012016528541193435,1.2161480588038034,0.282318879027377,0.9284819023002612,-0.10705430504559144
rises,184,0.002957543682141884,0.0035859935311489243,0.0023326823522117858,0.0022482537270619974,1.2124904706570252,0.277973408751413,0.9638062057314681,-0.05318500459054444
smiles,666,0.01821224267424213,0.021972999578118407,0.011368920301311262,0.022606578855561325,1.206496090083138,0.27082324018954734,1.9884543348372266,0.9916474308077703
kneels,163,0.0014009417441724714,0.0016875263675994938,0.0015809541523295824,0.0019303971656497842,1.2045656963390055,0.26851307950234676,1.2210329836607134,0.28810217225080853
backs,188,0.0015566019379694128,0.001863310364224441,0.0014259586471992312,0.0025428524912977078,1.1970371607368864,0.2594679398993394,1.7832582286254948,0.8345156307152942
spins,216,0.001945752422461766,0.002320348755449304,0.002417929880033479,0.002566110288474211,1.1925200393756155,0.25401350980723175,1.0612839973831998,0.08581077009919272
straightens,69,6.226407751877651e-4,7.382927858247785e-4,5.851080318670758e-4,5.349293350595787e-4,1.1857443573337083,0.245793003002263,0.9142402871357325,-0.12935470039268668
peels,64,3.891504844923532e-4,4.570383912248629e-4,4.533618525062773e-4,5.504345331772477e-4,1.1744515539305302,0.23198720347723267,1.2141174431292194,0.2799079820755008
seems,341,0.003891504844923532,0.004570383912248629,0.0039678849313369915,0.004271682081417795,1.1744515539305302,0.23198720347723267,1.0765640020660674,0.10643409072538043
clears,81,9.339611627816476e-4,0.001089860779074673,9.803465699494715e-4,5.349293350595787e-4,1.1669230183284114,0.2227093898892218,0.5456532939031445,-0.8739435357619182
throws,393,0.004942211153052886,0.00576571508929827,0.005362844477510152,0.0040933723030646026,1.1666266192889578,0.22234289806942054,0.7632837984078671,-0.38970852612404805
finally,222,0.001206366501926295,0.0014062719729995782,0.0023675563408661147,0.0023800479110621837,1.1657087383925857,0.2212073647239898,1.0052761448504746,0.0075918577056732816
glances,395,0.006109662606529945,0.007101673463647869,0.005796831891875136,0.006690492987774152,1.1623675350022886,0.21706631408367055,1.1541637074470927,0.20684787144554148
