word2,total,female,male,female_writer_ratio,female_logratio
kisses,2210,0.0063332401974480765,0.004810076493577571,1.3166610148308948,0.39688395973850304
clicks,656,0.001881344882183105,0.0014312033156638393,1.3145196504177152,0.39453570859596865
hugs,638,0.0018254633510291515,0.0013926610360678652,1.310773622405126,0.39041854594554243
waits,1241,0.003520536462699078,0.002708237512943782,1.299936377763392,0.37844101576806377
freezes,551,0.0015646828723107013,0.0012050886087007912,1.298396533676963,0.37673105344758934
would,441,0.0012480208624382975,9.661264752057516e-4,1.2917779343253295,0.36935808196434067
indicates,323,9.127316755145758e-4,7.09177944565924e-4,1.2870277234485112,0.3640431305212447
hurries,616,0.001732327465772562,0.0013489797858590945,1.284176000212882,0.360842941738752
strokes,252,7.078327279500792e-4,5.550088261820275e-4,1.2753540026009058,0.35089775446432264
glares,366,0.001024494737822483,8.042489009026602e-4,1.2738528292331226,0.34919860977624684
disappears,602,0.0016764459346186086,0.0013207154474887135,1.2693468057834123,0.34408629032000226
shrugs,885,0.0024587873707739593,0.0019399614063306979,1.267441384529698,0.3419190283302181
crawls,429,0.0011921393312843438,9.430011074481671e-4,1.2641971699379693,0.3382214903409927
still,679,0.001881344882183105,0.0014903014777109997,1.2623921470390818,0.336160135921066
gathers,285,7.823414361553506e-4,6.295239000675774e-4,1.2427509679479505,0.3135372269603956
races,560,0.0015274285182080656,0.0012333529470711722,1.2384358604203534,0.30851915219377096
follows,1117,0.0030362298593648133,0.0024564279529167513,1.2360345662731969,0.3057190894345348
sighs,782,0.0021234981838502377,0.0017215551552868444,1.233476706993115,0.30273047200381265
clears,373,0.001005867560771165,8.248047833538464e-4,1.2195219778928486,0.2863157582253712
yanks,589,0.0015833100493620191,0.0013001595650375274,1.2177813338752148,0.2842551046275973
unlocks,249,6.705783738474435e-4,5.524393408756292e-4,1.2138497826468353,0.27958989503705783
slaps,606,0.001620564403464655,0.0013387018446335015,1.2105491674349038,0.275661676754426
suddenly,1019,0.0027195678494924096,0.0022482996430984907,1.2096109421360053,0.2745430953445321
sniffs,264,7.078327279500792e-4,5.858426498588068e-4,1.208230107727174,0.2728952424630496
whispers,587,0.0015646828723107013,0.001297590079731129,1.2058375728603876,0.2700355883238091
straightens,253,6.705783738474435e-4,5.627172821012223e-4,1.1916790103610484,0.2529956850253448
shuts,700,0.0018440905280804694,0.00154939963975816,1.1901968225372161,0.2512001713637305
slows,544,0.0014342926329514762,0.0012050886087007912,1.1901968225372161,0.2512001713637305
hangs,2354,0.00612834124988358,0.0052083467160693045,1.1766384966223191,0.23467114345254794
hurls,292,7.637142591040328e-4,6.500797825187637e-4,1.1748008162090309,0.23241617310797935
brushes,314,8.195957902579864e-4,6.989000033403309e-4,1.1726939280881394,0.22982652057116357
rips,713,0.0018440905280804694,0.0015828029487413376,1.1650790324512035,0.220427822568914
stops,5865,0.015106640588618795,0.01299131770914968,1.1628258908624265,0.21763509922437577
studies,693,0.0017882089969265158,0.001539121698532567,1.1618372989162808,0.2164080511165763
flicks,303,7.823414361553506e-4,6.757746355827465e-4,1.157695768620714,0.21125617667066351
rounds,245,6.333240197448077e-4,5.473003702628327e-4,1.1571781313443354,0.21061096420870665
shoves,704,0.0018068361739778337,0.0015648165515965496,1.1546632556604521,0.2074721674650012
offers,567,0.001452919810002794,0.0012616172854415532,1.1516327707053307,0.20368074773176084
means,386,9.872403837198473e-4,8.607775776434222e-4,1.1469169380813173,0.19776091240227006
covers,423,0.0010803762689764367,9.430011074481671e-4,1.1456786852562848,0.196202485468565
passes,2846,0.0072087175188600165,0.006323503339046156,1.1399879358563583,0.18901855687045607
gives,2802,0.007096954456552109,0.006225862897403021,1.1399149922675689,0.18892624122618115
cannot,500,0.0012666480394896153,0.0011151566229768515,1.1358476588771589,0.18376935199006575
winks,249,6.333240197448077e-4,5.575783114884257e-4,1.1358476588771589,0.18376935199006575
reads,945,0.0023842786625686875,0.0021044084659401874,1.1329923354511229,0.18013810154319715
hesitates,924,0.002328397131414734,0.0020581577304250188,1.131301598995481,0.17798359543758246
realizes,1193,0.0029989755052621777,0.002656847806815817,1.1287720348785784,0.17475415098388802
should,447,0.0011176306230790724,9.995297841889292e-4,1.1181563978966134,0.16112199380653222
eats,358,8.941044984632579e-4,8.01679415596262e-4,1.115289330209699,0.15741802504311336
gazes,556,0.0013784111017975226,0.0012436308882967653,1.1083763798158373,0.14844787153856095
lays,542,0.001341156747694887,0.001212797064619986,1.1058377257163965,0.1451396952646768
glances,2714,0.006668529384371799,0.006058846352487133,1.1006269174715733,0.13832551746869953
throws,2199,0.0054018813448821834,0.004910286420527104,1.1001153257170502,0.13765477022168376
gasps,478,0.001173512154233026,0.0010714753727680808,1.0952301695944167,0.13123409323945853
hears,4296,0.01050572785694328,0.00959445813409116,1.0949787585829556,0.13090288335679706
lets,1661,0.004060724597187296,0.003712906267745508,1.093678187478992,0.12918829057309086
drinks,382,9.313588525658936e-4,8.582080923370239e-4,1.0852366237070425,0.11800964048487828
thinks,1161,0.002812703734748999,0.0026003191300750547,1.081676361265632,0.11326890781497437
winces,322,7.823414361553506e-4,7.245948564043136e-4,1.0796949898838575,0.11062381356417231
walks,8381,0.02021048710067989,0.018752103766094614,1.077771718457646,0.10805163493156567
lifts,1636,0.003948961534879389,0.003664086046923941,1.0777480343821635,0.10801993130351667
places,1049,0.0025332960789792307,0.002351079055354422,1.077503571481283,0.10769265126314038
returns,750,0.0018068361739778337,0.0016830128756908703,1.0735724010644507,0.10241948894652074
gestures,960,0.002309769954363416,0.0021532286867617548,1.0727007161682784,0.10124761987172919
whips,479,0.001154884977181708,0.0010766143433808774,1.0727007161682784,0.10124761987172919
climbs,1334,0.003203874452826674,0.0029908808966475926,1.0712143223148138,0.09924715497801953
