word2,total,female_he,female_she,male_he,male_she,female_ratio,male_ratio,self_ratio,self_logratio
never,134,5.86051963274077e-4,0.0014146272457207527,0.0010227818898394694,0.001012834389979898,2.4138256236148443,1.0098214475712746,2.4375328854233764,1.2854216827872469
peers,150,7.814026176987692e-4,0.0017682840571509406,0.0013880611362107084,0.0014071439616514612,2.2629615221389163,0.9864386118543573,2.2322726225785363,1.1585132311205009
clears,81,9.376831412385232e-4,0.0010963361154335833,9.727963087570893e-4,5.334776557909386e-4,1.1691967864384403,1.82349963151655,2.1320299092408304,1.0922276771265242
needs,158,9.767532721234617e-4,0.0014853586080067903,0.0015726232817456502,0.0011365393536415648,1.5207101428773517,1.3836945255849145,2.104198299700845,1.0732706706540838
adjusts,72,3.907013088493846e-4,6.012165794313199e-4,5.806017494953379e-4,4.329673728158342e-4,1.5388138350544633,1.3409826835665537,2.0635227060406742,1.0451093131751157
pops,122,7.814026176987692e-4,0.0012731645211486774,0.0012342593482649235,9.896397092933355e-4,1.62933229594002,1.2471805008170718,2.032071468847904,1.022951143221917
doing,74,4.688415706192616e-4,5.304852171452823e-4,6.344323752763626e-4,3.5565177052729243e-4,1.1314807610694582,1.7838583351792334,2.0184013867286956,1.0132131026208289
carefully,107,5.469818323891385e-4,5.658508982883011e-4,0.0012919350187445928,7.035719808257306e-4,1.0344966958349333,1.8362513771914906,1.8995959824269428,0.9256926100671238
stumbles,175,0.0010548935338933385,0.0015914556514358468,0.0015264827453619148,0.0012138549559301067,1.5086410147592777,1.2575495432172616,1.8971908189893558,0.923864791962201
also,88,5.079117015042e-4,7.073136228603763e-4,7.651638950302797e-4,5.644038967063553e-4,1.392591705931641,1.3557027148385805,1.887940356393216,0.9168131879545657
climbs,278,0.0027349091619456923,0.003642665157730938,0.003314428530231664,0.0023426627493428175,1.3319144958874767,1.4148124953800771,1.8844092715594585,0.914112335399063
realizes,257,0.0025004883766360617,0.0034658367520158436,0.0029106988368739787,0.002149373743621463,1.3860639323100863,1.354207868925469,1.8770186839680976,0.9084430109220961
plays,123,0.0010158234030084,8.841420285754703e-4,0.0011650485436893205,5.412092160197928e-4,0.8703698162072756,2.1526768377253815,1.8736249436046997,0.9058321877062809
remembers,90,0.0010158234030084,0.0014499929268637715,8.189945208113044e-4,6.33987938766043e-4,1.4274064985799322,1.2918140405089527,1.8439437563792789,0.8827946516294102
got,123,6.641922250439539e-4,8.841420285754703e-4,0.001188118811881188,8.582031854028143e-4,1.3311538365523037,1.3844260101685844,1.8428839948587097,0.8819652596233174
rips,160,0.0017190857589372925,0.0019804781440090537,0.0018071710083629722,0.0011365393536415648,1.1520531385434483,1.5900646137528356,1.83183892876083,0.8732926546936058
searches,125,0.0010158234030084,0.0014499929268637715,9.881764875516678e-4,7.731560228854183e-4,1.4274064985799322,1.278107468999327,1.8243789071331886,0.8674053954408089
hears,566,0.008282867747606955,0.012484085443485641,0.010089397289243487,0.008589763414256997,1.5072177685189385,1.174583839235601,1.77035363311109,0.8240375714816364
feels,306,0.0025786286384059387,0.003748762201159994,0.003364414111314044,0.0027756301221586515,1.4537813414953038,1.2121262427781572,1.7621665152876915,0.817350257646049
becomes,84,4.688415706192616e-4,8.134106662894328e-4,6.421224646736518e-4,6.417194989948972e-4,1.7349371669731692,1.0006279467577124,1.7360266151420047,0.7957890660076479
means,100,6.251220941590154e-4,0.001343895883434715,7.920792079207921e-4,0.0010051028297510438,2.149813446031971,0.788057882711348,1.6941774325043417,0.7605849771430131
eats,108,8.595428794686463e-4,9.548733908615079e-4,9.074305488801308e-4,5.953301376217721e-4,1.1109083835954678,1.5242476258721573,1.6932994662568677,0.7598371417377746
passes,501,0.005469818323891385,0.008770688923468667,0.006425069691435163,0.006115664141023659,1.6034698785441468,1.0505923058030644,1.6845931169854549,0.7524001765749689
swings,184,0.0017972260207071693,0.001343895883434715,0.0027991925406132844,0.0012602443173032319,0.7477611986198159,2.221150694496455,1.660890305631906,0.7319567928988551
tears,147,8.986130103535847e-4,0.001167067477719621,0.0014149764491012207,0.0011288077934127106,1.2987431344449434,1.2535140679914514,1.6279927897340494,0.7030943100231
kicks,189,0.0013674545809728462,0.0021926722308671666,0.0018148610977602616,0.0018014535333230246,1.6034698785441468,1.0074426368425418,1.6154039225381054,0.6918949476941338
twists,89,4.688415706192616e-4,8.134106662894328e-4,7.267134480438335e-4,7.886191433431266e-4,1.7349371669731692,0.9215011506861709,1.5987465957339808,0.6769412871300975
cannot,95,0.0012502441883180308,0.0013085302022916962,0.0012611746611554358,8.272769444873975e-4,1.0466197039892489,1.524489071718169,1.5955603009765147,0.6740631333905501
must,121,8.204727485837078e-4,0.0010963361154335833,0.0012227242141689897,0.0010282975104376063,1.3362248987867889,1.1890763147414822,1.588873378315205,0.6680041569359445
swallows,90,7.032623559288923e-4,0.0013792615645777339,6.382774199750072e-4,7.963507035719809e-4,1.961233319187061,0.8015029271802663,1.5719342462118988,0.6525408711283059
