word2,total,female,male,female_writer_ratio,female_logratio
races,122,0.0015307074855329475,0.001233571652523425,1.2408744010951402,0.3113570960587
follows,251,0.0030427478066081762,0.0024568635412758216,1.2384683786825668,0.3085570332994638
sighs,175,0.0021280567481799513,0.0017218604316472808,1.235905482852677,0.30556841586874167
clears,81,0.0010080268807168191,8.249510426250405e-4,1.2219232762094838,0.2891537020903001
yanks,139,0.0015867089789061042,0.0013003901170351106,1.220179204778794,0.2870930484925264
unlocks,74,6.720179204778794e-4,5.525373026927841e-4,1.216239912134091,0.2824278389019869
slaps,147,0.0016240433078215418,0.0013389392311764677,1.2129327978496571,0.27849962061935474
suddenly,203,0.0027254060108269553,0.0022486983249124935,1.211992725139337,0.2773810392094609
sniffs,67,7.093522493933172e-4,5.859465349486269e-4,1.2106091718001368,0.2757331863279786
whispers,128,0.0015680418144483853,0.0012978201760923535,1.208211925915384,0.272873532188738
fumbles,76,6.346835915624416e-4,5.294078342079699e-4,1.1988556846952811,0.26165800111625587
straightens,69,6.720179204778794e-4,5.628170664638127e-4,1.1940254845152034,0.2558336288902737
shuts,175,0.0018480492813141684,0.0015496743884825526,1.1925403781911796,0.2540381152286597
slows,112,0.001437371663244353,0.0012053023021530965,1.1925403781911796,0.2540381152286597
hangs,397,0.006141497106589509,0.005209270290968714,1.1789553552705823,0.23750908731747747
brushes,84,8.213552361396304e-4,6.990239364299409e-4,1.175003019688368,0.23266446443609262
rips,160,0.0018480492813141684,0.0015830836207383955,1.167373129950132,0.2232657664338431
stops,682,0.015139070375210006,0.012993621406580077,1.165115551815559,0.2204730430893049
studies,161,0.0017920477879410117,0.0015393946247115242,1.164125013283604,0.21924599498150538
flicks,86,7.840209072241927e-4,6.758944679451266e-4,1.1599753281126788,0.21409412053559293
shoves,157,0.0018107149523987306,0.0015650940341390956,1.1569368439863377,0.2103101113299301
offers,146,0.001456038827702072,0.0012618410028937535,1.153900391858379,0.20651869159669023
means,100,9.893597162591002e-4,8.609302158236404e-4,1.149175273529682,0.20059885626719914
covers,114,0.0010826955385476946,9.431683259918687e-4,1.1479345825243805,0.19904042933349428
passes,501,0.007224192645137204,0.00632462466012531,1.1422326277610395,0.19185650073538557
gives,479,0.00711218965839089,0.006226966904300539,1.1421595405427623,0.19176418509111048
cannot,95,0.0012693671831248833,0.0011153543691565968,1.1380841983743222,0.1866072958549949
winks,73,6.346835915624416e-4,5.576771845782984e-4,1.1380841983743222,0.1866072958549949
reads,239,0.0023893970505880157,0.002104781632118094,1.1352232526770514,0.18297604540812618
hesitates,216,0.002333395557214859,0.0020585226951484654,1.13352918707878,0.18082153930251202
realizes,257,0.0030054134776927384,0.002657318934810878,1.1309946421266268,0.1775920948488171
should,142,0.0011200298674631324,9.997070267325258e-4,1.1203581024371447,0.16395993767146155
eats,108,8.960238939705058e-4,8.018215741402262e-4,1.1174853893539725,0.16025596890804264
gazes,98,0.0013813701698711966,0.0012438514162944536,1.110558827023266,0.1512858154034901
lays,151,0.0013440358409557587,0.001213012124981368,1.1080151741899558,0.14797763912960596
glances,395,0.006682844875863356,0.006059920743021326,1.102794105609285,0.14116346133362856
throws,393,0.005413477692738473,0.004911157141608885,1.1022815065056193,0.14049271408661299
gasps,123,0.001176031360836289,0.0010716653731297255,1.0973867312720664,0.13407203710438761
hears,566,0.010528280754153444,0.009596159480255143,1.0971348252200492,0.13374082722172667
lets,330,0.004069441851782714,0.003713564662284061,1.0958316932280823,0.13202623443801992
drinks,101,9.333582228859437e-4,8.583602748808832e-4,1.0873735076049134,0.12084758434980733
thinks,281,0.0028187418331155497,0.002600780234070221,1.083806234832929,0.11610685167990373
winces,83,7.840209072241927e-4,7.247233458575122e-4,1.081820962034165,0.11346175742910178
walks,723,0.020253873436624978,0.018755429000241575,1.0798939035926132,0.11088957879649505
lifts,332,0.003957438865036401,0.003664735784371675,1.0798701728820295,0.11085787516844589
places,223,0.0025387343662497666,0.002351495962622779,1.0796252286217614,0.1105305951280694
returns,179,0.0018107149523987306,0.0016833113175059237,1.0756863175384421,0.10525743281144978
gestures,193,0.00231472839275714,0.0021536105100304795,1.07481291625215,0.1040855637366583
whips,102,0.00115736419637857,0.0010768052550152397,1.07481291625215,0.1040855637366583
climbs,278,0.0032107522867276463,0.002991411257369306,1.0733235956166163,0.10208509884294904
makes,492,0.006253500093335822,0.005833765940058698,1.0719490904485793,0.1002363902159923
drags,122,0.0010080268807168191,9.405983850491116e-4,1.071686807823072,0.09988335092856085
jumps,300,0.0037521000560014933,0.003510539327806247,1.0688101472847475,0.0960056099379731
reaches,665,0.015643083815568413,0.014671792842200486,1.0662012464198787,0.0924797737533082
senses,81,7.28019413851036e-4,6.836042907733981e-4,1.0649719782001204,0.09081547041019353
squeezes,96,8.960238939705058e-4,8.455105701670975e-4,1.059742983217141,0.08371441403504944
breaks,200,0.0017173791301101362,0.0016216327348797526,1.0590432057585983,0.08276144812359873
cuts,131,0.0013627030054134777,0.0012875404123213249,1.058376880735449,0.08185345273394368
seems,341,0.004274780660817622,0.004045087043899731,1.0567833558153672,0.07967964963859234
looks,905,0.07939145043867836,0.07516306275281794,1.0562561919511708,0.07895979874020788
slips,258,0.0029680791487773006,0.002811515391376306,1.0556866086812895,0.07818161954093383
leads,191,0.0018293821168564495,0.0017347101363610665,1.0545751007681192,0.07666183922614983
sips,82,7.28019413851036e-4,6.913141136016695e-4,1.0530949672908254,0.0746355433547591
hops,73,7.653537427664737e-4,7.272932868002694e-4,1.0523316475718503,0.07358944883533602
bends,173,0.0019787194325182004,0.0018837667110409803,1.0504057752590545,0.07094675347852203
starts,663,0.015139070375210006,0.014425078511695801,1.0494965668946137,0.06969744730446777
hands,533,0.007877543401157365,0.007514507316621864,1.0483113621744005,0.06806727980388283
did,205,0.0018107149523987306,0.001744989900132095,1.0376650044001174,0.053340764991530926
leaves,363,0.004200112002986746,0.004047656984842488,1.0376650044001172,0.05334076499153061
takes,835,0.026936718312488332,0.02598210293127464,1.0367412670074763,0.05205589474995599
listens,217,0.0021280567481799513,0.002053382813262951,1.0363662997638217,0.05153400828589956
watches,544,0.007877543401157365,0.007612165072446635,1.0348623980411704,0.049438950467472376
puts,641,0.012040321075228672,0.011646972352575337,1.0337726158134444,0.04791889153923576
grips,75,6.346835915624416e-4,6.142158853189554e-4,1.0333233098210373,0.04729172031872562
picks,587,0.009482919544521188,0.009179829047528489,1.0330170088596913,0.04686400870007787
rolls,242,0.0021467239126376704,0.0020790822226905226,1.0325343986923294,0.04618984556353264
gently,125,9.893597162591002e-4,9.585879716484115e-4,1.0321011169770604,0.0455843213570963
wants,335,0.0038827702072055255,0.0037623935401964463,1.0319947038296249,0.045435566906184575
catches,310,0.0035280940825088668,0.003420591394809747,1.03142809979065,0.04464325535831565
stares,583,0.01142430464812395,0.011079015404226011,1.0311660586523086,0.044276682563293944
likes,129,0.001045361209632257,0.0010151266723890686,1.0297840043666988,0.04234176604227385
will,152,0.0015120403210752288,0.0014700062192570815,1.0285945061099067,0.04067435315537039
tries,655,0.011517640470412545,0.011212652333249381,1.0272003561778837,0.03871760782205298
left,94,7.466865783087549e-4,7.272932868002694e-4,1.0266650220213176,0.03796553910461504
almost,119,9.893597162591002e-4,9.637278535339258e-4,1.026596577686516,0.03786935622909075
stands,625,0.011050961358969573,0.010775762372980668,1.0255387021784133,0.03638193783169508
cries,98,8.77356729512787e-4,8.557903339381261e-4,1.0252005599028187,0.03590617165551016
really,105,8.77356729512787e-4,8.583602748808832e-4,1.0221310971486186,0.03158024625272008
sets,217,0.0022773940638417026,0.0022307087383131937,1.0209284720710832,0.029881792167541825
grabs,638,0.012805674817995147,0.012546451682540335,1.0206610715135935,0.029503873440793377
produces,71,6.160164271047228e-4,6.06506062490684e-4,1.0156805763407928,0.022446757045747022
smashes,79,8.586895650550681e-4,8.455105701670975e-4,1.0155870255830937,0.022313869370906417
had,207,0.0021093895837222326,0.0020790822226905226,1.0145772787150715,0.02087875703434512
slowly,261,0.003192085122269927,0.003150747595820248,1.0131199104950575,0.01880493824425122
collapses,110,0.0010080268807168191,9.997070267325258e-4,1.00832229219343,0.011956844226411276
works,150,0.0013440358409557587,0.0013337993492909532,1.0076746863538713,0.011029960133566552
jerks,81,7.093522493933172e-4,7.041638183154551e-4,1.007368215950479,0.010591117532193982
feels,306,0.003192085122269927,0.003168737182419548,1.0073682159504789,0.010591117532193665
shakes,434,0.005282807541534441,0.0052452494641673135,1.0071603986852682,0.01029346284829799
runs,534,0.008250886690311742,0.008226380957765591,1.0029789202167958,0.00429128489498548
brings,164,0.001456038827702072,0.001459726455486053,0.9974737542296902,-0.003649213593298912
spits,82,6.533507560201606e-4,6.553349404030696e-4,0.9969722591295245,-0.004374732864756633
quickly,281,0.0032480866156430837,0.0032586851154160477,0.9967476146367057,-0.004699847241544177
frowns,82,7.466865783087549e-4,7.504227552850835e-4,0.995021237096003,-0.007200776943519907
could,212,0.001904050774687325,0.0019146060023540658,0.9944869975056158,-0.007975586328893522
keeps,322,0.003920104536120963,0.00394742928807496,0.9930778362422997,-0.010021296005898756
becomes,84,6.346835915624416e-4,6.399152947465267e-4,0.9918243817157748,-0.011843403768606639
kicks,189,0.0017920477879410117,0.0018092384237010234,0.9904984132910211,-0.013773430867006234
never,134,0.0010080268807168191,0.0010176966133318257,0.9904984132910211,-0.013773430867006234
